1	2026-01-01	PH	New Year's Day	Regular	2026-05-27 01:55:30.70832
2	2026-04-02	PH	Maundy Thursday	Regular	2026-05-27 01:55:30.708404
3	2026-04-03	PH	Good Friday	Regular	2026-05-27 01:55:30.708405
4	2026-04-09	PH	Araw ng Kagitingan	Regular	2026-05-27 01:55:30.708405
5	2026-05-01	PH	Labor Day	Regular	2026-05-27 01:55:30.708405
6	2026-06-12	PH	Independence Day	Regular	2026-05-27 01:55:30.708407
7	2026-08-31	PH	National Heroes Day	Regular	2026-05-27 01:55:30.708407
8	2026-11-30	PH	Bonifacio Day	Regular	2026-05-27 01:55:30.708407
9	2026-12-25	PH	Christmas Day	Regular	2026-05-27 01:55:30.708407
10	2026-12-30	PH	Rizal Day	Regular	2026-05-27 01:55:30.708408
11	2026-11-01	PH	All Saints' Day	Special	2026-05-27 01:55:30.708408
12	2026-12-08	PH	Feast of the Immaculate Conception	Special	2026-05-27 01:55:30.708408
13	2026-12-31	PH	Last Day of the Year	Special	2026-05-27 01:55:30.708408
14	2026-01-26	IN	Republic Day	Regular	2026-05-27 01:55:30.708408
15	2026-03-04	IN	Holi	Regular	2026-05-27 01:55:30.708408
16	2026-04-14	IN	Dr. Ambedkar Jayanti	Regular	2026-05-27 01:55:30.708408
17	2026-05-01	IN	May Day	Regular	2026-05-27 01:55:30.708409
18	2026-08-15	IN	Independence Day	Regular	2026-05-27 01:55:30.708409
19	2026-10-02	IN	Gandhi Jayanti	Regular	2026-05-27 01:55:30.708409
20	2026-11-09	IN	Diwali	Regular	2026-05-27 01:55:30.708409
21	2026-12-25	IN	Christmas Day	Regular	2026-05-27 01:55:30.708409
22	2027-01-01	PH	New Year's Day	Regular	2026-05-27 01:55:30.708409
23	2027-05-01	PH	Labor Day	Regular	2026-05-27 01:55:30.708409
24	2027-06-12	PH	Independence Day	Regular	2026-05-27 01:55:30.70841
25	2027-12-25	PH	Christmas Day	Regular	2026-05-27 01:55:30.70841
26	2027-12-30	PH	Rizal Day	Regular	2026-05-27 01:55:30.70841
27	2027-01-26	IN	Republic Day	Regular	2026-05-27 01:55:30.70841
28	2027-08-15	IN	Independence Day	Regular	2026-05-27 01:55:30.70841
29	2027-10-02	IN	Gandhi Jayanti	Regular	2026-05-27 01:55:30.70841
30	2026-05-27	PH	Eid'l Adha	Regular	2026-05-27 01:59:12.34177
\.


